ori_label,total_num,untargeted_num,untargeted_asr,targeted_num,targeted_asr,pixeltext_white_back_prob,pixeltext_black_back_prob,pixeltext_middle_back_prob
lhasa,30939,12153,0.3928051973237661,415,0.0134134910630595,0.1309814453125,,
samoyed,30939,13925,0.4500791880797699,421,0.0136074210543327,0.27294921875,,
leafhopper,30939,17227,0.5568053266104269,423,0.0136720643847571,0.23974609375,0.35546875,0.472412109375
hyena,30939,15023,0.4855683764827564,439,0.0141892110281521,0.038299560546875,0.0025711059570312,0.033355712890625
pomegranate,30939,16415,0.5305601344581273,443,0.0143184976890009,0.1317138671875,0.186767578125,0.202392578125
photocopier,30939,15404,0.4978829309286014,447,0.0144477843498497,0.09051513671875,0.0494384765625,0.3662109375
indri,30939,11534,0.3727980865574194,448,0.0144801060150618,0.161376953125,0.568359375,0.55419921875
tabby,30939,12508,0.4042793884740941,451,0.0145770710106984,0.88037109375,0.60986328125,0.75830078125
affenpinscher,30939,17120,0.5533469084327225,451,0.0145770710106984,0.0300445556640625,0.0272979736328125,0.046142578125
bustard,30939,13132,0.4244481075665018,454,0.014674036006335,0.2469482421875,0.02935791015625,0.234375
bikini,30939,12167,0.3932577006367368,462,0.0149326093280325,0.0149612426757812,0.020538330078125,0.00445556640625
rapeseed,30939,14236,0.4601312259607615,463,0.0149649309932447,0.94970703125,0.9765625,0.9931640625
orangutan,30939,14633,0.4729629270500016,467,0.0150942176540935,0.02593994140625,0.0056877136230468,0.008026123046875
dingo,30939,13448,0.4346617537735544,468,0.0151265393193057,0.080322265625,0.55517578125,0.87939453125
forklift,30939,13167,0.4255793658489285,471,0.0152235043149423,0.5068359375,0.6240234375,0.9345703125
macaw,30939,13337,0.4310740489350011,477,0.0154174343062154,0.456787109375,0.2291259765625,0.529296875
bighorn,30939,13378,0.432399237208701,490,0.0158376159539739,0.219482421875,0.03076171875,0.2254638671875
coho,30939,11893,0.3844015643685963,508,0.0164194059277934,0.1181640625,0.008697509765625,0.1923828125
suit,30939,11092,0.3585119105336307,512,0.0165486925886421,0.85009765625,0.9912109375,0.94482421875
tub,30939,11233,0.3630692653285497,512,0.0165486925886421,0.0631103515625,0.160888671875,0.393310546875
broccoli,30939,14673,0.4742557936584893,516,0.0166779792494909,0.326416015625,0.66455078125,0.196533203125
catamaran,30939,15326,0.4953618410420505,517,0.0167103009147031,0.314208984375,0.1539306640625,0.43994140625
acorn,30939,12319,0.3981705937489899,518,0.0167426225799153,0.65771484375,0.8212890625,0.732421875
zucchini,30939,13542,0.4376999903035004,522,0.016871909240764,0.923828125,0.552734375,0.5380859375
cassette,30939,13480,0.4356960470603445,529,0.0170981608972494,0.375,0.3349609375,0.7529296875
weevil,30939,12285,0.3970716571317754,532,0.017195125892886,0.08428955078125,0.08001708984375,0.13818359375
kuvasz,30939,12454,0.4025340185526358,534,0.0172597692233103,0.06671142578125,0.0001221895217895,0.0004546642303466
tripod,30939,13024,0.4209573677235851,538,0.0173890558841591,0.2744140625,0.95263671875,0.93798828125
stopwatch,30939,16144,0.5218009631856233,539,0.0174213775493713,0.395751953125,0.4755859375,0.6416015625
malinois,30939,14818,0.4789424351142571,539,0.0174213775493713,0.0053672790527343,0.0243072509765625,0.006439208984375
axolotl,30939,12962,0.4189534244804292,542,0.0175183425450079,0.039947509765625,0.0068092346191406,0.017578125
revolver,30939,13541,0.4376676686382882,542,0.0175183425450079,0.47802734375,0.970703125,0.84326171875
thatch,30939,12625,0.4080610233039206,542,0.0175183425450079,0.90625,0.26513671875,0.54443359375
harp,30939,12545,0.4054752900869453,548,0.017712272536281,0.533203125,0.453369140625,0.6806640625
cello,30939,13574,0.4387342835902906,556,0.0179708458579786,0.139892578125,0.1790771484375,0.433349609375
flagpole,30939,14065,0.4546042212094767,556,0.0179708458579786,0.935546875,0.4921875,0.23828125
colobus,30939,13436,0.4342738937910081,566,0.0182940625101005,0.0145111083984375,0.0034618377685546,0.0124053955078125
purse,30939,12438,0.4020168719092408,568,0.0183587058405249,0.081787109375,0.199462890625,0.04083251953125
tusker,30939,13049,0.4217654093538899,572,0.0184879925013736,0.447265625,0.8515625,0.7255859375
mosque,30939,14336,0.4633633924819806,592,0.0191344258056175,0.07220458984375,0.08868408203125,0.364013671875
peacock,30939,14566,0.4707973754807847,593,0.0191667474708296,0.136962890625,0.042999267578125,0.10308837890625
tarantula,30939,14804,0.4784899318012864,596,0.0192637124664662,0.046112060546875,0.350830078125,0.266845703125
caldron,30939,13300,0.42987814732215,597,0.0192960341316784,0.13720703125,0.327392578125,0.4560546875
chimpanzee,30939,15352,0.4962022043375674,607,0.0196192507838003,0.0149078369140625,0.0153656005859375,0.10357666015625
fig,30939,11221,0.3626814053460034,619,0.0200071107663466,0.55224609375,0.69775390625,0.5517578125
lionfish,30939,14280,0.4615533792300979,623,0.0201363974271954,0.2083740234375,0.41845703125,0.3466796875
pug,30939,12221,0.3950030705581951,629,0.0203303274184686,0.353271484375,0.54248046875,0.8544921875
gazelle,30939,13667,0.4417401984550244,629,0.0203303274184686,0.394287109375,0.3115234375,0.47900390625
maze,30939,12304,0.3976857687708071,638,0.0206212224053783,0.8544921875,0.6044921875,0.97705078125
canoe,30939,12283,0.397007013801351,640,0.0206858657358027,0.291259765625,0.2354736328125,0.476318359375
magpie,30939,13920,0.4499175797537089,640,0.0206858657358027,0.0022239685058593,0.0242767333984375,0.0113067626953125
plow,30939,12081,0.3904780374284883,642,0.020750509066227,0.5771484375,0.33203125,0.09234619140625
trimaran,30939,13884,0.44875399980607,658,0.0212676557096221,0.833984375,0.474365234375,0.64599609375
doberman,30939,15037,0.486020879795727,663,0.0214292640356831,0.16357421875,,
hamper,30939,14003,0.4526002779663208,671,0.0216878373573806,0.368408203125,0.7822265625,0.7841796875
oboe,30939,11888,0.3842399560425353,674,0.0217848023530172,0.1597900390625,0.434326171875,0.9638671875
sandal,30939,13196,0.4265166941400821,678,0.0219140890138659,0.203857421875,0.748046875,0.299072265625
obelisk,30939,13241,0.4279711690746307,685,0.0221403406703513,0.8232421875,0.94580078125,0.88623046875
bagel,30939,12480,0.4033743818481528,686,0.0221726623355635,0.93798828125,0.9736328125,0.76806640625
cairn,30939,12469,0.4030188435308187,694,0.022431235657261,0.30615234375,0.1961669921875,0.62744140625
vulture,30939,12811,0.4140728530333882,698,0.0225605223181098,0.0292816162109375,0.0013370513916015,0.135009765625
beaver,30939,13929,0.4502084747406186,699,0.022592843983322,0.18603515625,0.1783447265625,0.121826171875
coyote,30939,13308,0.4301367206438475,707,0.0228514173050195,0.81494140625,0.34375,0.92138671875
goose,30939,12231,0.3953262872103171,708,0.0228837389702317,0.228515625,0.43505859375,0.90576171875
eel,30939,11381,0.3678528717799541,710,0.0229483823006561,0.0139312744140625,0.1419677734375,0.1092529296875
trilobite,30939,13895,0.4491095381234041,712,0.0230130256310805,0.396484375,0.759765625,0.90771484375
slug,30939,12119,0.3917062607065516,718,0.0232069556223536,0.257080078125,0.297119140625,0.119140625
chow,30939,12144,0.3925143023368564,723,0.0233685639484146,0.252685546875,0.6064453125,0.226806640625
pelican,30939,14361,0.4641714341122854,724,0.0234008856136268,0.344970703125,0.20849609375,0.68994140625
cardoon,30939,13901,0.4493034681146772,738,0.0238533889265975,0.1287841796875,0.241943359375,0.129150390625
mink,30939,12070,0.3901224991111542,746,0.024111962248295,0.354736328125,0.052276611328125,0.10174560546875
fly,30939,11443,0.3698568150231099,749,0.0242089272439316,0.223388671875,0.7705078125,0.7041015625
banana,30939,14297,0.4621028475387052,754,0.0243705355699925,0.91943359375,0.62109375,0.81884765625
agaric,30939,12992,0.419923074436795,758,0.0244998222308413,0.29248046875,0.68505859375,0.35693359375
banjo,30939,12832,0.4147516080028443,771,0.0249200038785998,0.88525390625,0.32666015625,0.461181640625
abaya,30939,12697,0.4103881831991984,779,0.0251785772002973,0.20458984375,0.85888671875,0.88916015625
warthog,30939,13922,0.4499822230841332,784,0.0253401855263583,0.08685302734375,0.437744140625,0.86962890625
hippopotamus,30939,17762,0.5740974174989495,800,0.0258573321697533,0.0130386352539062,0.03228759765625,0.019805908203125
palace,30939,13720,0.4434532467112705,808,0.0261159054914509,0.76416015625,0.18310546875,0.040863037109375
teapot,30939,12656,0.4090629949254986,808,0.0261159054914509,0.98779296875,0.9921875,0.99267578125
mortarboard,30939,18084,0.5845049936972753,811,0.0262128704870874,0.0083465576171875,0.00360107421875,0.04473876953125
gorilla,30939,14477,0.4679207472768997,814,0.026309835482724,0.163330078125,0.0860595703125,0.11981201171875
minibus,30939,14114,0.4561879828048741,817,0.0264068004783606,0.7314453125,0.7919921875,0.98388671875
weasel,30939,13418,0.4336921038171886,819,0.026471443808785,0.230712890625,0.308837890625,0.318359375
loafer,30939,13072,0.4225088076537703,829,0.0267946604609069,0.16259765625,,
flamingo,30939,14248,0.4605190859433078,831,0.0268593037913313,0.4453125,0.3349609375,0.63623046875
puck,30939,13551,0.4379908852904101,837,0.0270532337826044,0.0701904296875,0.07830810546875,0.298583984375
cougar,30939,13133,0.424480429231714,839,0.0271178771130288,0.7890625,0.7646484375,0.92919921875
pot,30939,11704,0.378292769643492,848,0.0274087720999385,0.6298828125,0.9248046875,0.8486328125
conch,30939,12684,0.4099680015514399,850,0.0274734154303629,0.5595703125,0.2071533203125,0.497802734375
partridge,30939,16826,0.5438443388603381,856,0.0276673454216361,0.67431640625,0.84228515625,0.95556640625
armadillo,30939,15193,0.491063059568829,867,0.0280228837389702,0.48046875,0.393310546875,0.68701171875
chiffonier,30939,15006,0.4850189081741491,867,0.0280228837389702,0.626953125,0.490966796875,0.6953125
schipperke,30939,15402,0.497818287598177,872,0.0281844920650311,0.025146484375,0.042572021484375,0.012115478515625
ladle,30939,12714,0.4109376515078057,873,0.0282168137302433,0.1871337890625,0.253173828125,0.64013671875
whiptail,30939,13876,0.4484954264843724,878,0.0283784220563043,0.986328125,0.9765625,0.3330078125
doormat,30939,14173,0.4580949610523934,881,0.0284753870519409,0.88037109375,0.64697265625,0.814453125
sorrel,30939,12398,0.4007240053007531,916,0.0296066453343676,0.9794921875,0.96337890625,0.9912109375
holster,30939,13690,0.4424835967549048,918,0.029671288664792,0.135986328125,0.97119140625,0.86181640625
clog,30939,11768,0.3803613562170723,922,0.0298005753256407,0.115234375,0.66455078125,0.9755859375
reel,30939,11545,0.3731536248747535,937,0.0302854003038236,0.1912841796875,0.8125,0.9228515625
volcano,30939,14531,0.469666117198358,942,0.0304470086298846,0.95703125,0.88330078125,0.81787109375
hog,30939,12016,0.3883771291896958,944,0.0305116519603089,0.2061767578125,0.208740234375,0.50830078125
syringe,30939,14763,0.4771647435275865,945,0.0305439736255211,0.7783203125,0.1634521484375,0.619140625
streetcar,30939,14160,0.4576747794046349,945,0.0305439736255211,0.97509765625,0.85498046875,0.99755859375
wallaby,30939,13600,0.4395746468858075,951,0.0307379036167943,0.63330078125,0.4716796875,0.73486328125
daisy,30939,12326,0.3983968454054752,952,0.0307702252820065,0.97119140625,0.96240234375,0.984375
shovel,30939,13305,0.430039755648211,957,0.0309318336080674,0.658203125,0.8388671875,0.548828125
mantis,30939,12761,0.4124567697727787,965,0.031190406929765,0.76416015625,0.9326171875,0.857421875
vestment,30939,14232,0.4600019392999127,966,0.0312227285949772,0.90478515625,0.91064453125,0.99462890625
crane,30939,12756,0.4122951614467177,970,0.0313520152558259,0.18603515625,0.379150390625,0.461669921875
barbell,30939,14948,0.483144251591842,970,0.0313520152558259,0.58984375,0.63916015625,0.84033203125
thimble,30939,14400,0.4654319790555609,971,0.0313843369210381,0.58251953125,0.28173828125,0.97119140625
